,departure,arrival,continental
1200,ER,MW,1
1201,ER,ML,1
1202,ER,MR,1
1203,ER,MU,1
1204,ER,MZ,1
1205,ER,,1
1206,ER,RW,1
1207,ER,ST,1
1208,ER,SN,1
1209,ER,SC,1
1210,ER,SL,1
1211,ER,SO,1
1212,ER,ZA,1
1213,ER,SS,1
1214,ER,SD,1
1215,ER,TG,1
1216,ER,UG,1
1217,ER,TZ,1
1218,ER,ZM,1
1219,ER,ZW,1
1220,EE,FI,1
1221,EE,FR,1
1222,EE,GE,1
1223,EE,DE,1
1224,EE,GR,1
1225,EE,HU,1
1226,EE,IS,1
1227,EE,IT,1
1228,EE,LV,1
1229,EE,LY,1
1230,EE,LI,1
1231,EE,LT,1
1232,EE,LU,1
1233,EE,MT,1
1234,EE,MC,1
1235,EE,MA,1
1236,EE,NL,1
1237,EE,NO,1
1238,EE,PL,1
1239,EE,PT,1
1240,EE,MD,1
1241,EE,RO,1
1242,EE,RU,1
1243,EE,SM,1
1244,EE,SK,1
1245,EE,SI,1
1246,EE,ES,1
1247,EE,SE,1
1248,EE,CH,1
1249,EE,TN,1
1250,EE,TR,1
1251,EE,UA,1
1252,EE,GB,1
1253,ET,GA,1
1254,ET,GM,1
1255,ET,GH,1
1256,ET,KE,1
1257,ET,LS,1
1258,ET,LR,1
1259,ET,MG,1
1260,ET,MW,1
1261,ET,ML,1
1262,ET,MR,1
1263,ET,MU,1
1264,ET,MZ,1
1265,ET,,1
1266,ET,RW,1
1267,ET,ST,1
1268,ET,SN,1
1269,ET,SC,1
1270,ET,SL,1
1271,ET,SO,1
1272,ET,ZA,1
1273,ET,SS,1
1274,ET,SD,1
1275,ET,TG,1
1276,ET,UG,1
1277,ET,TZ,1
1278,ET,ZM,1
1279,ET,ZW,1
1280,FJ,KI,1
1281,FJ,MH,1
1282,FJ,FM,1
1283,FJ,NR,1
1284,FJ,NZ,1
1285,FJ,PW,1
1286,PG,FJ,1
1287,FJ,WS,1
1288,FJ,SB,1
1289,FJ,TO,1
1290,FJ,TV,1
1291,FJ,VU,1
1292,FI,FR,1
1293,FI,GE,1
